client_id,euribor_three_months,cons_price_idx
0,4.857,93.994
1,4.857,93.994
2,4.857,93.994
3,4.857,93.994
4,4.857,93.994
5,4.857,93.994
6,4.857,93.994
7,4.857,93.994
8,4.857,93.994
9,4.857,93.994
10,4.857,93.994
11,4.857,93.994
12,4.857,93.994
13,4.857,93.994
14,4.857,93.994
15,4.857,93.994
16,4.857,93.994
17,4.857,93.994
18,4.857,93.994
19,4.857,93.994
20,4.857,93.994
21,4.857,93.994
22,4.857,93.994
23,4.857,93.994
24,4.857,93.994
25,4.857,93.994
26,4.857,93.994
27,4.857,93.994
28,4.857,93.994
29,4.857,93.994
30,4.857,93.994
31,4.857,93.994
32,4.857,93.994
33,4.857,93.994
34,4.857,93.994
35,4.857,93.994
36,4.857,93.994
37,4.857,93.994
38,4.857,93.994
39,4.857,93.994
40,4.857,93.994
41,4.857,93.994
42,4.857,93.994
43,4.857,93.994
44,4.857,93.994
45,4.857,93.994
46,4.857,93.994
47,4.857,93.994
48,4.857,93.994
49,4.857,93.994
50,4.857,93.994
51,4.857,93.994
52,4.857,93.994
53,4.857,93.994
54,4.857,93.994
55,4.857,93.994
56,4.857,93.994
57,4.857,93.994
58,4.857,93.994
59,4.857,93.994
60,4.857,93.994
61,4.857,93.994
62,4.857,93.994
63,4.857,93.994
64,4.857,93.994
65,4.857,93.994
66,4.857,93.994
67,4.857,93.994
68,4.857,93.994
69,4.857,93.994
70,4.857,93.994
71,4.857,93.994
72,4.857,93.994
73,4.857,93.994
74,4.857,93.994
75,4.857,93.994
76,4.857,93.994
77,4.857,93.994
78,4.857,93.994
79,4.857,93.994
80,4.857,93.994
81,4.857,93.994
82,4.857,93.994
83,4.857,93.994
84,4.857,93.994
85,4.857,93.994
86,4.857,93.994
87,4.857,93.994
88,4.857,93.994
89,4.857,93.994
90,4.857,93.994
91,4.857,93.994
92,4.857,93.994
93,4.857,93.994
94,4.857,93.994
95,4.857,93.994
96,4.857,93.994
97,4.857,93.994
98,4.857,93.994
99,4.857,93.994
100,4.857,93.994
101,4.857,93.994
102,4.857,93.994
103,4.857,93.994
104,4.857,93.994
105,4.857,93.994
106,4.857,93.994
107,4.857,93.994
108,4.857,93.994
109,4.857,93.994
110,4.857,93.994
111,4.857,93.994
112,4.857,93.994
113,4.857,93.994
114,4.857,93.994
115,4.857,93.994
116,4.857,93.994
117,4.857,93.994
118,4.857,93.994
119,4.857,93.994
120,4.857,93.994
121,4.857,93.994
122,4.857,93.994
123,4.857,93.994
124,4.857,93.994
125,4.857,93.994
126,4.857,93.994
127,4.857,93.994
128,4.857,93.994
129,4.857,93.994
130,4.857,93.994
131,4.857,93.994
132,4.857,93.994
133,4.857,93.994
134,4.857,93.994
135,4.857,93.994
136,4.857,93.994
137,4.857,93.994
138,4.857,93.994
139,4.857,93.994
140,4.857,93.994
141,4.857,93.994
142,4.857,93.994
143,4.857,93.994
144,4.857,93.994
145,4.857,93.994
146,4.857,93.994
147,4.857,93.994
148,4.857,93.994
149,4.857,93.994
150,4.857,93.994
151,4.857,93.994
152,4.857,93.994
153,4.857,93.994
154,4.857,93.994
155,4.857,93.994
156,4.857,93.994
157,4.857,93.994
158,4.857,93.994
159,4.857,93.994
